Order ID,Order Date,CustomerName,State,City
B-25849,04-11-2018,K,Sikkim,Gangtok
B-25851,06-11-2018,Kushal,Nagaland,Kohima
B-25782,15-09-2018,Aayushi,Maharashtra,Mumbai
B-25621,20-04-2018,Deepak,Madhya Pradesh,Bhopal
B-25996,04-02-2018,Prashant,Delhi,Delhi
B-25678,03-06-2018,Bathina,Karnataka,Bangalore
B-25727,22-07-2018,Turumella,Madhya Pradesh,Indore
B-26018,14-02-2018,Aarushi,Tamil Nadu,Chennai
B-25760,24-08-2018,Pooja,Goa,Goa
B-25804,05-10-2018,Sudheer,Karnataka,Bangalore
B-25754,18-08-2018,Akshay,Bihar,Patna
B-26020,16-02-2018,Yogesh,Bihar,Patna
B-25640,27-04-2018,Paridhi,Rajasthan,Jaipur
B-25789,22-09-2018,Akshay,Uttar Pradesh,Lucknow
B-26072,20-03-2018,Sweta,Maharashtra,Mumbai
B-26007,09-02-2018,Shubham,Jammu and Kashmir,Kashmir
B-26087,26-03-2018,Vandana,Himachal Pradesh,Simla
B-25617,17-04-2018,Sagar,Nagaland,Kohima
B-25984,30-01-2018,Kajal,Delhi,Delhi
B-25767,31-08-2018,Ashmeet,West Bengal,Kolkata
B-25987,31-01-2018,Manjiri,Delhi,Delhi
B-25840,31-10-2018,Sneha,Karnataka,Bangalore
B-25663,19-05-2018,Pournamasi,Madhya Pradesh,Indore
B-26030,21-02-2018,Sarita,Maharashtra,Pune
B-25947,13-01-2018,Chetan,Gujarat,Ahmedabad
B-25896,05-12-2018,Aman,Maharashtra,Mumbai
B-26009,10-02-2018,Komal,Uttar Pradesh,Lucknow
B-25876,24-11-2018,Bhosale,Punjab,Amritsar
B-25915,19-12-2018,Sukruta,Punjab,Amritsar
B-25795,24-09-2018,Sukant,Sikkim,Gangtok
B-26002,08-02-2018,Harsh,Delhi,Delhi
B-25645,01-05-2018,Yaanvi,Madhya Pradesh,Indore
B-25837,29-10-2018,Palak,Maharashtra,Mumbai
B-25612,12-04-2018,Shrichand,Punjab,Chandigarh
B-25812,10-10-2018,Kshitij,Madhya Pradesh,Indore
B-25843,03-11-2018,Mrunal,Maharashtra,Mumbai
B-26026,19-02-2018,Kanak,Goa,Goa
B-25773,06-09-2018,Shreya,Kerala ,Thiruvananthapuram
B-25875,24-11-2018,Divyeshkumar,Uttar Pradesh,Prayagraj
B-25660,16-05-2018,Shruti,Karnataka,Bangalore
B-25918,22-12-2018,Karandeep,Madhya Pradesh,Indore
B-25971,22-01-2018,Mitali,Madhya Pradesh,Indore
B-26063,15-03-2018,Farah,Nagaland,Kohima
B-25867,17-11-2018,Ankit,Sikkim,Gangtok
B-25703,28-06-2018,Ekta,Madhya Pradesh,Indore
B-25661,17-05-2018,Subhashree,Jammu and Kashmir,Kashmir
B-25748,12-08-2018,Nitant,Rajasthan,Jaipur
B-25766,30-08-2018,Surabhi,Rajasthan,Jaipur
B-25861,15-11-2018,Aayush,Uttar Pradesh,Lucknow
B-26058,11-03-2018,Aditya,Punjab,Chandigarh
B-25808,08-10-2018,Apsingekar,Bihar,Patna
B-25900,09-12-2018,Anand,Punjab,Amritsar
B-26084,25-03-2018,Anita,Kerala ,Thiruvananthapuram
B-25652,08-05-2018,Tushina,Goa,Goa
B-26008,09-02-2018,Kalyani,Tamil Nadu,Chennai
B-25799,01-10-2018,Divyansh,Gujarat,Ahmedabad
B-25927,31-12-2018,Shreya,Uttar Pradesh,Lucknow
B-25985,31-01-2018,Ginny,Madhya Pradesh,Indore
B-25994,03-02-2018,Omkar,Delhi,Delhi
B-25620,20-04-2018,Sarita,Maharashtra,Pune
B-25712,07-07-2018,Adhvaita,Rajasthan,Jaipur
B-25976,25-01-2018,Piyam,Punjab,Amritsar
B-26068,16-03-2018,Shefali,Rajasthan,Jaipur
B-25721,16-07-2018,Anchal,Haryana,Chandigarh
B-25863,15-11-2018,Manibalan,Kerala ,Thiruvananthapuram
B-25991,03-02-2018,Mansi,Madhya Pradesh,Indore
B-25737,01-08-2018,Shubham,Madhya Pradesh,Indore
B-26043,01-03-2018,Amit,Sikkim,Gangtok
B-25977,27-01-2018,Aayushi,Gujarat,Surat
B-25908,12-12-2018,Pradeep,Delhi,Delhi
B-25941,07-01-2018,Jaideep,Nagaland,Kohima
B-25794,24-09-2018,Aditya,Himachal Pradesh,Simla
B-26041,27-02-2018,Ritu,Haryana,Chandigarh
B-25695,18-06-2018,Suhani,West Bengal,Kolkata
B-25960,18-01-2018,Shreya,Andhra Pradesh,Hyderabad
B-26037,23-02-2018,Hitika,Madhya Pradesh,Indore
B-25921,25-12-2018,Sandra,Punjab,Amritsar
B-25944,10-01-2018,Syed,Maharashtra,Pune
B-25724,19-07-2018,Sheetal,Madhya Pradesh,Indore
B-26024,19-02-2018,Vandana,Himachal Pradesh,Simla
B-25694,18-06-2018,Subhasmita,Rajasthan,Jaipur
B-25665,21-05-2018,Chayanika,Kerala ,Thiruvananthapuram
B-26004,08-02-2018,Nandita,Rajasthan,Jaipur
B-25611,11-04-2018,Anita,Kerala ,Thiruvananthapuram
B-25901,10-12-2018,Suraj,Gujarat,Surat
B-25623,22-04-2018,Atharv,West Bengal,Kolkata
B-25713,08-07-2018,Raksha,West Bengal,Kolkata
B-26091,27-03-2018,Manju,Andhra Pradesh,Hyderabad
B-25604,03-04-2018,Divsha,Rajasthan,Jaipur
B-25827,23-10-2018,Sheetal,Madhya Pradesh,Indore
B-25835,29-10-2018,Moumita,Gujarat,Ahmedabad
B-26025,19-02-2018,Bhavna,Sikkim,Gangtok
B-25809,09-10-2018,Suman,Kerala ,Thiruvananthapuram
B-25905,11-12-2018,Bhargav,Delhi,Delhi
B-25948,13-01-2018,Mukund,Maharashtra,Pune
B-26094,27-03-2018,Deepak,Madhya Pradesh,Bhopal
B-25949,13-01-2018,Shantanu,Maharashtra,Mumbai
B-26001,07-02-2018,Patil,Delhi,Delhi
B-25771,02-09-2018,Vaibhavi,Uttar Pradesh,Lucknow
B-25659,15-05-2018,Sanskriti,West Bengal,Kolkata
B-25924,28-12-2018,Prajakta,Karnataka,Bangalore
B-25883,27-11-2018,Saptadeep,Gujarat,Surat
B-25946,12-01-2018,Saurabh,Andhra Pradesh,Hyderabad
B-26065,16-03-2018,Nida,Madhya Pradesh,Indore
B-26083,24-03-2018,Yogesh,Bihar,Patna
B-25725,20-07-2018,Anisha,Nagaland,Kohima
B-25630,24-04-2018,Sahil,Punjab,Chandigarh
B-25673,28-05-2018,Arsheen,Gujarat,Ahmedabad
B-25692,17-06-2018,Rashmi,Madhya Pradesh,Indore
B-25992,03-02-2018,Gaurav,Rajasthan,Udaipur
B-25765,29-08-2018,Meghana,Madhya Pradesh,Bhopal
B-25892,04-12-2018,Aditi,Rajasthan,Udaipur
B-26089,26-03-2018,Kanak,Goa,Goa
B-25780,13-09-2018,Teena,Andhra Pradesh,Hyderabad
B-25684,09-06-2018,Samiksha,Maharashtra,Mumbai
B-25739,03-08-2018,Daksh,Haryana,Chandigarh
B-25731,26-07-2018,Akash,West Bengal,Kolkata
B-25648,04-05-2018,Aditya,Punjab,Chandigarh
B-26038,24-02-2018,Pooja,Bihar,Patna
B-25700,25-06-2018,Shubhi,Maharashtra,Mumbai
B-26015,14-02-2018,Kasheen,West Bengal,Kolkata
B-25704,29-06-2018,Riya,Maharashtra,Mumbai
B-25811,10-10-2018,Utsav,Maharashtra,Mumbai
B-25821,16-10-2018,Ajay,West Bengal,Kolkata
B-25874,24-11-2018,Megha,Rajasthan,Udaipur
B-25668,24-05-2018,Rhea,Himachal Pradesh,Simla
B-25800,01-10-2018,Ishit,Maharashtra,Pune
B-25928,01-01-2018,Smriti,Bihar,Patna
B-26021,17-02-2018,Anita,Kerala ,Thiruvananthapuram
B-26064,16-03-2018,Ankita,Maharashtra,Mumbai
B-25882,26-11-2018,Masurkar,Punjab,Amritsar
B-25891,04-12-2018,Shivani,Madhya Pradesh,Indore
B-25820,16-10-2018,Dheeraj,Rajasthan,Jaipur
B-25889,03-12-2018,Abhishek,Gujarat,Surat
B-25871,21-11-2018,Gunjal,Gujarat,Surat
B-25637,26-04-2018,Ashmi,Madhya Pradesh,Indore
B-25616,15-04-2018,Kanak,Goa,Goa
B-25972,23-01-2018,Jesslyn,Rajasthan,Udaipur
B-25805,05-10-2018,Ankit,Maharashtra,Mumbai
B-25860,15-11-2018,Akshay,Tamil Nadu,Chennai
B-26080,22-03-2018,Sonakshi,Jammu and Kashmir,Kashmir
B-25807,07-10-2018,Vipul,Uttar Pradesh,Lucknow
B-25734,29-07-2018,Pranav,Madhya Pradesh,Indore
B-25880,24-11-2018,Apoorv,Rajasthan,Udaipur
B-25934,04-01-2018,Rahul,Madhya Pradesh,Indore
B-25913,17-12-2018,Geetanjali,Delhi,Delhi
B-25912,16-12-2018,Preksha,Delhi,Delhi
B-25824,20-10-2018,Shyam,Madhya Pradesh,Indore
B-25711,06-07-2018,Sakshi,Madhya Pradesh,Bhopal
B-25864,15-11-2018,Aromal,Maharashtra,Mumbai
B-25917,21-12-2018,Sanjay,Maharashtra,Mumbai
B-26049,05-03-2018,Lisha,Madhya Pradesh,Bhopal
B-25920,24-12-2018,Jayanti,Uttar Pradesh,Prayagraj
B-25699,24-06-2018,Kritika,Uttar Pradesh,Lucknow
B-25735,30-07-2018,Arindam,Uttar Pradesh,Lucknow
B-25701,26-06-2018,Maithilee,Madhya Pradesh,Indore
B-26092,27-03-2018,Ramesh,Gujarat,Ahmedabad
B-26082,23-03-2018,Jitesh,Uttar Pradesh,Lucknow
B-25818,14-10-2018,Sandeep,Madhya Pradesh,Indore
B-25846,03-11-2018,Soodesh,Punjab,Chandigarh
B-26011,12-02-2018,Bharat,Gujarat,Ahmedabad
B-25631,24-04-2018,Ritu,Haryana,Chandigarh
B-25606,06-04-2018,Hazel,Karnataka,Bangalore
B-25746,10-08-2018,Shivam,Maharashtra,Pune
B-26005,08-02-2018,Parnavi,West Bengal,Kolkata
B-25844,03-11-2018,Swati,Madhya Pradesh,Indore
B-25869,19-11-2018,Parakh,Nagaland,Kohima
B-26066,16-03-2018,Priyanka,Maharashtra,Pune
B-25865,15-11-2018,Arun,Madhya Pradesh,Indore
B-26039,25-02-2018,Hemant,Kerala ,Thiruvananthapuram
B-25916,20-12-2018,Utkarsh,Gujarat,Surat
B-26090,27-03-2018,Sagar,Nagaland,Kohima
B-25988,31-01-2018,Nirja,Delhi,Delhi
B-25906,11-12-2018,Abhijit,Delhi,Delhi
B-26017,14-02-2018,Sonakshi,Jammu and Kashmir,Kashmir
B-25644,30-04-2018,Mayank,Maharashtra,Mumbai
B-25679,04-06-2018,Avni,Maharashtra,Mumbai
B-25723,18-07-2018,Wale,Maharashtra,Mumbai
B-25605,05-04-2018,Kasheen,West Bengal,Kolkata
B-25792,24-09-2018,Abhishek,Maharashtra,Mumbai
B-25680,04-06-2018,Aayushi,Madhya Pradesh,Indore
B-25931,04-01-2018,Sidharth,Maharashtra,Mumbai
B-25932,04-01-2018,Bhutekar,Madhya Pradesh,Indore
B-25990,02-02-2018,Mugdha,Delhi,Delhi
B-25615,15-04-2018,Bhavna,Sikkim,Gangtok
B-26031,22-02-2018,Deepak,Madhya Pradesh,Bhopal
B-25801,01-10-2018,Aryan,Madhya Pradesh,Bhopal
B-25833,29-10-2018,Krishna,Madhya Pradesh,Indore
B-26077,22-03-2018,Divsha,Rajasthan,Jaipur
B-25936,05-01-2018,Nikhil,Punjab,Chandigarh
B-25938,05-01-2018,Shikhar,Himachal Pradesh,Simla
B-25716,11-07-2018,Surabhi,Tamil Nadu,Chennai
B-25740,03-08-2018,Rane,Maharashtra,Mumbai
B-25763,27-08-2018,Noshiba,Gujarat,Ahmedabad
B-25872,22-11-2018,Saurabh,Maharashtra,Mumbai
B-25879,24-11-2018,Siddharth,Madhya Pradesh,Indore
B-25926,30-12-2018,Dipali,Madhya Pradesh,Indore
B-26074,21-03-2018,Bharat,Gujarat,Ahmedabad
B-25627,23-04-2018,Hitika,Madhya Pradesh,Indore
B-25940,06-01-2018,Vivek,Goa,Goa
B-26047,04-03-2018,Ashmi,Madhya Pradesh,Indore
B-26069,17-03-2018,Sanskriti,West Bengal,Kolkata
B-26027,20-02-2018,Sagar,Nagaland,Kohima
B-25963,19-01-2018,Pratiksha,Maharashtra,Mumbai
B-25922,26-12-2018,Akshata,Gujarat,Surat
B-25866,16-11-2018,Komal,Himachal Pradesh,Simla
B-25607,06-04-2018,Sonakshi,Jammu and Kashmir,Kashmir
B-25775,08-09-2018,Duhita,Haryana,Chandigarh
B-25998,04-02-2018,Anmol,Rajasthan,Udaipur
B-26062,15-03-2018,Tushina,Goa,Goa
B-25722,17-07-2018,Inderpreet,Himachal Pradesh,Simla
B-25776,09-09-2018,Mousam,Maharashtra,Mumbai
B-26032,22-02-2018,Monisha,Rajasthan,Jaipur
B-25705,30-06-2018,Shweta,Madhya Pradesh,Indore
B-25628,24-04-2018,Pooja,Bihar,Patna
B-25733,28-07-2018,Dhirajendu,Maharashtra,Mumbai
B-25647,03-05-2018,Sharda,Kerala ,Thiruvananthapuram
B-25790,23-09-2018,Sajal,Bihar,Patna
B-25709,01-07-2018,Aakanksha,Madhya Pradesh,Indore
B-25911,15-12-2018,Phalguni,Madhya Pradesh,Bhopal
B-25774,07-09-2018,Snehal,Punjab,Chandigarh
B-26042,28-02-2018,Manish,Himachal Pradesh,Simla
